[2025-04-21 17:19:50,216] anonymous, Request: GET /graphs/get/USD 200
[2025-04-21 17:22:50,055] anonymous, Request: GET /graphs/get/USD 200
[2025-04-21 17:24:03,544] anonymous, Request: GET /graphs/get/USD 200
[2025-04-21 17:25:27,706] anonymous, Request: GET /graphs/get/USD 200
[2025-04-21 17:26:21,522] anonymous, Request: GET /graphs/get/USD 200
[2025-04-21 17:28:54,964] anonymous, Request: GET /graphs/get/USD 200
[2025-04-21 17:29:34,249] anonymous, Request: GET /graphs/get/USD 200
[2025-04-21 17:31:40,194] anonymous, Request: GET /graphs/get/USD 200
[2025-04-21 17:32:30,080] anonymous, Request: GET /graphs/get/USD 200
[2025-04-21 17:34:00,764] anonymous, Request: GET /graphs/get/USD 200
[2025-04-21 17:36:02,759] anonymous, Request: GET /graphs/get/USD 200
[2025-04-21 17:37:39,850] anonymous, Request: GET /graphs/get/USD 200
[2025-04-21 18:15:00,378] anonymous, Request: POST /auth/login 404
[2025-04-21 18:15:11,301] anonymous, Request: GET /graphs/get/USD 200
[2025-04-21 18:15:58,049] anonymous, Request: POST /auth/login 404
[2025-04-21 18:16:07,433] anonymous, Request: GET /graphs/get/USD 200
[2025-04-21 18:35:56,070] anonymous, Request: GET /graphs/get/USD 200
[2025-04-21 18:37:30,700] anonymous, Request: GET /getcsrf/ 200
[2025-04-21 18:37:31,771] anonymous, Request: POST /auth/login 404
[2025-04-21 18:37:39,527] anonymous, Request: GET /graphs/get/USD 200
[2025-04-21 18:39:53,434] anonymous, Request: GET /getcsrf/ 200
[2025-04-21 18:39:55,015] anonymous, Request: POST /auth/login 404
[2025-04-21 18:40:03,475] anonymous, Request: GET /graphs/get/USD 200
[2025-04-21 18:41:02,211] anonymous, Request: GET /getcsrf/ 200
[2025-04-21 18:41:03,604] anonymous, Request: POST /auth/login 404
[2025-04-21 18:41:13,536] anonymous, Request: GET /graphs/get/USD 200
[2025-04-21 18:42:19,458] anonymous, Request: GET /getcsrf/ 200
[2025-04-21 18:42:20,454] anonymous, Request: POST /auth/login 404
[2025-04-21 18:42:20,455] anonymous, Request: GET /auth/login/ 405
[2025-04-21 18:42:28,577] anonymous, Request: GET /graphs/get/USD 200
[2025-04-21 18:42:58,321] anonymous, Request: GET /getcsrf/ 200
[2025-04-21 18:42:59,395] anonymous, Request: POST /auth/login 404
[2025-04-21 18:43:08,797] anonymous, Request: GET /graphs/get/USD 200
[2025-04-21 18:44:15,780] anonymous, Request: GET /getcsrf/ 200
[2025-04-21 18:44:18,504] anonymous, Request: POST /auth/login/ 200
[2025-04-21 18:44:27,689] anonymous, Request: GET /graphs/get/USD 200
[2025-04-21 18:46:55,540] anonymous, Request: GET /getcsrf/ 200
[2025-04-21 18:46:58,512] anonymous, Request: POST /auth/login/ 200
[2025-04-21 18:47:08,414] anonymous, Request: GET /graphs/get/USD 200
[2025-04-21 18:48:38,185] anonymous, Request: GET /getcsrf/ 200
[2025-04-21 18:48:39,442] anonymous, Request: POST /auth/login/ 401
[2025-04-21 18:48:39,472] anonymous, Request: GET /getcsrf/ 200
[2025-04-21 18:48:41,304] anonymous, Request: POST /auth/login/ 200
[2025-04-21 18:48:43,996] anonymous, Request: GET /graphs/get/USD 200
[2025-04-21 18:51:24,667] anonymous, Request: GET /getcsrf/ 200
[2025-04-21 18:51:26,057] anonymous, Request: POST /auth/login/ 401
[2025-04-21 18:51:26,078] anonymous, Request: GET /getcsrf/ 200
[2025-04-21 18:51:28,866] anonymous, Request: POST /auth/login/ 200
[2025-04-21 18:51:31,943] anonymous, Request: GET /graphs/get/USD 200
[2025-04-21 18:52:49,856] anonymous, Request: GET /getcsrf/ 200
[2025-04-21 18:52:50,881] anonymous, Request: POST /auth/login/ 401
[2025-04-21 18:52:51,423] anonymous, Request: GET /getcsrf/ 200
[2025-04-21 18:52:53,438] anonymous, Request: POST /auth/login/ 200
[2025-04-21 18:52:56,513] anonymous, Request: GET /graphs/get/USD 200
[2025-04-21 18:53:57,014] anonymous, Request: GET /getcsrf/ 200
[2025-04-21 18:53:58,457] anonymous, Request: POST /auth/login/ 401
[2025-04-21 18:53:58,968] anonymous, Request: GET /getcsrf/ 200
[2025-04-21 18:54:00,895] anonymous, Request: POST /auth/login/ 200
[2025-04-21 18:54:03,806] anonymous, Request: GET /graphs/get/USD 200
[2025-04-21 18:54:38,567] anonymous, Request: GET /getcsrf/ 200
[2025-04-21 18:54:40,580] anonymous, Request: POST /auth/login/ 401
[2025-04-21 18:54:40,603] anonymous, Request: GET /getcsrf/ 200
[2025-04-21 18:54:42,514] anonymous, Request: POST /auth/login/ 200
[2025-04-21 18:54:45,254] anonymous, Request: GET /graphs/get/USD 200
[2025-04-22 20:11:51,061] anonymous, Request: GET /graphs/get/USD 200
[2025-04-22 20:13:01,781] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 20:13:04,916] anonymous, Request: POST /auth/login/ 401
[2025-04-22 20:13:04,963] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 20:13:08,888] anonymous, Request: POST /auth/login/ 200
[2025-04-22 20:13:08,909] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 20:13:10,169] anonymous, Request: POST /auth/register/ 500
[2025-04-22 20:13:14,033] anonymous, Request: GET /graphs/get/USD 200
[2025-04-22 20:15:17,239] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 20:15:19,932] anonymous, Request: POST /auth/login/ 401
[2025-04-22 20:15:19,967] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 20:15:22,467] anonymous, Request: POST /auth/login/ 200
[2025-04-22 20:15:22,480] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 20:15:23,789] anonymous, Request: POST /auth/register/ 401
[2025-04-22 20:15:27,303] anonymous, Request: GET /graphs/get/USD 200
[2025-04-22 20:20:53,192] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 20:20:56,536] anonymous, Request: POST /auth/login/ 401
[2025-04-22 20:20:56,553] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 20:20:58,981] anonymous, Request: POST /auth/login/ 200
[2025-04-22 20:20:58,994] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 20:20:59,907] anonymous, Request: POST /auth/register/ 401
[2025-04-22 20:21:04,143] anonymous, Request: GET /graphs/get/USD 200
[2025-04-22 20:25:28,863] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 20:25:30,655] anonymous, Request: POST /auth/login/ 400
[2025-04-22 20:25:30,678] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 20:25:34,041] anonymous, Request: POST /auth/login/ 401
[2025-04-22 20:25:34,051] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 20:25:36,118] anonymous, Request: POST /auth/login/ 200
[2025-04-22 20:25:36,135] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 20:25:37,229] anonymous, Request: POST /auth/register/ 401
[2025-04-22 20:25:40,900] anonymous, Request: GET /graphs/get/USD 200
[2025-04-22 20:28:11,094] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 20:28:12,163] anonymous, Request: POST /auth/login/ 400
[2025-04-22 20:28:12,175] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 20:28:14,257] anonymous, Request: POST /auth/login/ 401
[2025-04-22 20:28:14,325] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 20:28:16,593] anonymous, Request: POST /auth/login/ 200
[2025-04-22 20:28:16,680] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 20:28:17,717] anonymous, Request: POST /auth/register/ 401
[2025-04-22 20:28:21,147] anonymous, Request: GET /graphs/get/USD 200
[2025-04-22 20:35:11,870] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 20:35:13,666] anonymous, Request: POST /auth/login/ 400
[2025-04-22 20:35:13,680] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 20:35:16,978] anonymous, Request: POST /auth/login/ 401
[2025-04-22 20:35:16,990] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 20:35:19,214] anonymous, Request: POST /auth/login/ 200
[2025-04-22 20:35:19,227] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 20:35:20,547] anonymous, Request: POST /auth/register/ 401
[2025-04-22 20:35:21,022] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 20:35:24,381] anonymous, Request: POST /auth/register/ 200
[2025-04-22 20:35:27,202] anonymous, Request: GET /graphs/get/USD 200
[2025-04-22 20:38:37,031] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 20:38:38,937] anonymous, Request: POST /auth/login/ 400
[2025-04-22 20:38:39,005] anonymous, Request: GET /getcsrf/ 200
